stcc4,region,mode,ton,value,dir
3541,34005,Truck,496.7847432,8281200.974,in
3542,34005,Truck,167.841088,2105433.406,in
3544,34005,Truck,1199.371218,13649193.64,in
3545,34005,Truck,562.6626213,9461119.162,in
3548,34005,Truck,853.174351,9551728.971,in
3551,34005,Truck,609.8204986,7139684.191,in
3552,34005,Truck,230.5702823,2248638.314,in
3553,34005,Truck,217.6387292,2592855.316,in
3554,34005,Truck,396.3574387,4372027.514,in
3555,34005,Truck,463.5664712,4785345.753,in
3559,34005,Truck,5076.353929,49750108.9,in
3561,34005,Truck,1955.078848,26310989.43,in
3562,34005,Truck,511.6603017,6132293.286,in
3564,34005,Truck,1317.489947,15320100.95,in
3566,34005,Truck,2678.36818,19712357.41,in
3567,34005,Truck,4305.592053,48176307.92,in
3569,34005,Truck,1832.452866,18666934.72,in
3572,34005,Truck,47.3613094,1359839.675,in
3573,34005,Truck,1336.749697,68207613.29,in
3574,34005,Truck,6463.563647,27746279.75,in
3576,34005,Truck,218.6634683,2385834.562,in
3579,34005,Truck,121.0508007,1895188.742,in
3581,34005,Truck,230.5009609,2399957.524,in
3582,34005,Truck,503.928308,3107346.377,in
3585,34005,Truck,4434.764133,45143452.21,in
3589,34005,Truck,1850.086289,21664244.97,in
3592,34005,Truck,321.2748768,3183136.957,in
3599,34005,Truck,5678.915583,34941432.9,in
3600,34005,Air,2464.522794,553344396.3,in
3611,34005,Truck,123.6916199,33240305.96,in
3612,34005,Truck,1764.055188,28805264.31,in
3613,34005,Truck,530.0157534,11619001.2,in
3621,34005,Truck,2769.949205,26551845.68,in
3622,34005,Truck,1146.597859,24901107.13,in
3623,34005,Truck,784.3208251,6485737.287,in
3624,34005,Truck,433.3235306,1459724.455,in
3629,34005,Truck,21190.98492,156324178.6,in
3631,34005,Truck,1879.248306,11568573.6,in
3634,34005,Truck,1920.009255,8941828.903,in
3635,34005,Truck,568.4909997,3820111.478,in
3636,34005,Truck,92.52222379,1185512.809,in
3639,34005,Truck,97.01118211,1017104.95,in
3641,34005,Truck,375.814054,4604810.36,in
3642,34005,Truck,1856.632255,21023027.74,in
3643,34005,Truck,2620.827242,25048379.74,in
3644,34005,Truck,1207.929661,8813879.98,in
3651,34005,Truck,1367.77416,15064376.1,in
3652,34005,Truck,764.1643044,20428840.49,in
3661,34005,Truck,1455.646745,44324270.03,in
3662,34005,Truck,655.2853398,61076950.16,in
3671,34005,Truck,97.62433047,1599711.176,in
3674,34005,Truck,4161.587281,127116309.3,in
3679,34005,Truck,24834.63162,134248960.9,in
3691,34005,Truck,2766.314252,12185787.29,in
3692,34005,Truck,1915.801836,5656776.429,in
3693,34005,Truck,322.6777357,6884679.902,in
3694,34005,Truck,2167.968867,22225716.1,in
3699,34005,Truck,2092.804621,22608384.81,in
3700,34005,Air,108.2449095,24621655.61,in
3711,34005,Truck,56518.89035,515728199.2,in
3713,34005,Truck,8281.064947,16215018.62,in
3714,34005,Truck,17824.37796,153872474.2,in
3715,34005,Truck,3404.255191,12925918.12,in
3722,34005,Truck,52.34556961,6228481.746,in
3723,34005,Truck,47.091098,9471123.22,in
3729,34005,Truck,35.7145779,6881705.99,in
3732,34005,Truck,2328.335112,41112404.45,in
3741,34005,Truck,4648.153175,4110765.683,in
3742,34005,Rail,1800,1715404.6,in
3742,34005,Truck,8361.87231,7802559.134,in
3751,34005,Truck,1854.051696,11224014.86,in
3769,34005,Truck,146.5043225,38039929.95,in
3791,34005,Truck,9550.362998,27889244.42,in
3799,34005,Truck,2449.705059,13852528.4,in
3800,34005,Air,149.4973256,30440104.95,in
3811,34005,Truck,45.67071061,3699552.273,in
3822,34005,Truck,24.77786418,1596021.706,in
3831,34005,Truck,194.3669047,8266181.627,in
3841,34005,Truck,7347.384125,44078098.51,in
3842,34005,Truck,3909.161106,45758446.44,in
3843,34005,Truck,744.4418109,15993714.47,in
3861,34005,Truck,667.50554,11854463.12,in
3871,34005,Truck,122.9513857,1586110.733,in
3900,34005,Air,39.5797956,24234354.5,in
3911,34005,Truck,18.53819269,3166553.631,in
3914,34005,Truck,377.8148292,1910924.675,in
3931,34005,Truck,1253.358721,5392005.536,in
3941,34005,Truck,1138.123434,9076524.657,in
3942,34005,Truck,68.39453754,857098.4142,in
3943,34005,Truck,210.5132637,1685694.82,in
3949,34005,Truck,2214.312503,20407756.78,in
3951,34005,Truck,345.8786872,3323744.846,in
3952,34005,Truck,426.2406513,1540767.692,in
3953,34005,Truck,235.8704863,983665.1549,in
3961,34005,Truck,504.1161199,1819137.548,in
3963,34005,Truck,140.6000336,381387.958,in
3964,34005,Truck,138.9726668,402390.1582,in
3991,34005,Truck,1056.108766,4797075.968,in
3993,34005,Truck,11022.37951,41161810.98,in
3994,34005,Truck,141.5414142,2315339.824,in
3996,34005,Truck,405.7068053,67889.27313,in
3999,34005,Truck,4500.807854,31552115.85,in
4021,34005,Truck,32207.91059,8346001.654,in
4022,34005,Truck,126387.3965,27229188.8,in
4024,34005,Rail,2280,546489.63,in
4024,34005,Truck,98959.12953,20721018.91,in
4029,34005,Truck,111575.7651,25927060.94,in
4111,34005,Truck,5680.338119,17858701.94,in
4211,34005,Truck,5716.194508,23386662.37,in
4221,34005,Truck,0,0,in
4311,34005,Truck,49164.81533,128545564.2,in
4611,34005,Air,1.223330348,132673.3578,in
5010,34005,Truck,1614025.564,1806909144,in
5022,34005,Truck,53860.70828,227813622,in
5031,34005,Truck,2612.7698,26550870,in
